time,temperature,solar_radiation
0,2.2,0.0
1,2.5,0.0
2,2.3,0.0
3,2.1,0.0
4,2.2,0.0
5,2.3,0.0
6,2.5,0.0
7,2.4,0.0
8,2.2,7.1
9,1.9,45.9
10,3.0,80.5
11,3.7,159.5
12,4.8,152.4
13,5.0,167.7
14,5.0,106.6
15,4.8,37.1
16,4.9,7.0
17,4.8,0.0
18,4.0,0.0
19,3.9,0.0
20,3.6,0.0
21,3.3,0.0
22,3.4,0.0
23,3.3,0.0
24,3.0,0.0
25,2.7,0.0
26,2.8,0.0
27,2.8,0.0
28,3.0,0.0
29,3.0,0.0
30,2.7,0.0
31,2.7,0.0
32,3.4,8.9
33,3.5,44.9
34,3.8,105.4
35,4.6,181.2
36,6.1,371.8
37,6.6,337.4
38,6.9,250.3
39,6.7,139.8
40,5.5,27.0
41,4.3,0.0
42,3.6,0.0
43,2.8,0.0
44,2.0,0.0
45,2.0,0.0
46,1.2,0.0
47,0.6,0.0
48,0.3,0.0
49,-0.1,0.0
50,-0.6,0.0
51,-0.7,0.0
52,-1.0,0.0
53,-1.4,0.0
54,-1.6,0.0
55,-1.3,0.0
56,-1.4,9.8
57,-0.4,179.0
58,0.4,205.4
59,1.7,385.8
60,3.4,360.9
61,4.2,254.5
62,3.9,100.8
63,3.6,62.1
64,3.7,16.5
65,3.4,0.1
66,2.8,0.0
67,2.6,0.0
68,1.7,0.0
69,1.3,0.0
70,0.8,0.0
71,0.7,0.0
72,0.4,0.0
73,-0.0,0.0
74,-0.1,0.0
75,-0.2,0.0
76,-0.4,0.0
77,-0.6,0.0
78,-0.5,0.0
79,-0.2,0.0
80,-0.2,16.8
81,0.2,191.5
82,1.8,297.1
83,3.2,367.7
84,4.9,363.2
85,4.9,231.6
86,5.6,244.6
87,5.6,108.4
88,4.7,16.6
89,3.1,0.0
90,2.4,0.0
91,2.0,0.0
92,1.6,0.0
93,1.4,0.0
94,1.1,0.0
95,0.8,0.0
96,1.3,0.0
97,1.4,0.0
98,1.4,0.0
99,1.6,0.1
100,1.1,0.5
101,1.4,0.0
102,1.8,0.2
103,2.1,0.1
104,2.2,4.6
105,2.1,52.2
106,2.8,97.4
107,3.7,179.8
108,6.0,431.8
109,7.4,371.0
110,7.2,235.1
111,7.0,111.7
112,6.2,18.4
113,4.2,0.0
114,4.0,0.0
115,3.3,0.0
116,3.8,0.1
117,4.0,0.1
118,4.0,0.1
119,3.9,0.1
120,3.8,0.0
121,3.9,0.1
122,3.8,0.0
123,3.8,0.1
124,3.9,0.0
125,3.7,0.0
126,3.7,0.0
127,3.7,0.0
128,3.5,4.5
129,3.8,132.6
130,4.3,248.3
131,5.0,391.0
132,5.6,247.8
133,6.7,312.0
134,6.7,153.7
135,7.3,123.8
136,6.4,20.2
137,4.6,0.0
138,3.6,0.0
139,3.0,0.0
140,2.5,0.0
141,2.2,0.0
142,1.6,0.0
143,1.3,0.0
144,0.9,0.0
145,0.8,0.0
146,1.1,0.0
147,0.9,0.0
148,1.3,0.1
149,1.0,0.1
150,0.9,0.1
151,0.9,0.2
152,1.3,3.3
153,1.3,34.9
154,1.7,77.6
155,2.4,203.6
156,3.7,336.2
157,4.4,312.2
158,4.8,233.2
159,4.7,122.5
160,3.7,25.3
161,2.6,0.0
162,1.5,0.0
163,0.9,0.0
164,0.6,0.0
165,0.3,0.0
166,0.1,0.0
167,-0.1,0.0
168,-0.2,0.0
169,-0.3,0.0
170,-0.6,0.0
171,-0.4,0.0
172,-0.7,0.0
173,-0.5,0.0
174,-0.3,0.0
175,-0.2,0.0
176,-0.1,5.1
177,0.7,174.5
178,2.5,303.7
179,3.7,367.2
180,5.4,388.7
181,6.8,347.7
182,7.6,252.7
183,7.1,126.2
184,5.9,21.2
185,3.4,0.0
186,2.5,0.0
187,2.0,0.0
188,1.7,0.0
189,1.5,0.0
190,1.1,0.0
191,1.0,0.0
192,0.9,0.0
193,0.6,0.0
194,0.5,0.0
195,0.5,0.0
196,0.2,0.0
197,0.2,0.0
198,0.1,0.0
199,0.1,0.0
200,0.3,14.1
201,1.3,137.2
202,2.4,249.6
